rtt,throughput
72.5,784.8714307116105
104,614.5357611940299
83,598.1232421580928
58.5,606.0996054931336
59,520.4457415307403
80,553.2130322580646
93,554.9780327044025
75.5,511.68171075401733
81.5,465.46649559748425
48,541.2443564356436
78,616.9054518147684
106,642.977835234474
64.5,833.2558002496879
82,803.98912
75,634.8128139825219
84,714.3526516290726
65,759.48997
73,821.8792891113892
72,937.9815901234568
94,755.5722453066332
75.5,621.4687635903919
70,437.1973
60,587.5811670822943
90,515.7105664160401
88.5,1084.0511820448878
43,1322.434114713217
69,780.7081695760598
54,770.0444010025062
37.5,1132.4144160401001
41,978.1626533166458
60.5,918.90116
57,614.44995
71.5,615.3017384806974
58,779.3140674157304
88.5,655.5108255959849
27,654.46999
62,609.0196290726817
50.5,884.0741718555417
70.5,600.4781714285714
83,598.5754285714286
55,689.6176783919598
123,789.5571127819549
46,653.9964744069913
50.5,703.8661089108911
54,770.24801011378
43,792.62478
65,826.8095280898876
45,1037.3178826466917
63,619.57551
96,712.0494111801243
30.5,1084.494894146949
20,413.4717670886076
36.5,556.84807
33,734.353366093366
55,655.7492893401015
44.5,593.3509687108887
77,636.3364394506866
54.5,525.93817
65,624.89121
33,511.38943640897753
41,556.8207578419072
85,525.6147950617284
59.5,502.3083554443054
42,513.9390653266331
50,738.3732125786164
27,494.70246575342463
47,594.8943659147869
46.5,595.2800400500626
51,781.47175
24,681.07442
52.5,661.6385481852316
19,636.94468
30.5,855.571265917603
92.5,613.742431565968
21,699.639113350126
33.5,607.2119044025158
83,646.21229
31.5,681.5777578027465
