timestamp,pid,rss,heapTotal,heapUsed,external,cpuPercentage
2024-09-10T00:28:47.937Z,367376,44150784,5152768,4303008,1745114,0.06
2024-09-10T00:28:48.938Z,367376,44150784,5152768,4306048,1745114,0.03
2024-09-10T00:28:49.940Z,367376,44150784,5152768,4308944,1745114,0.03
2024-09-10T00:28:50.941Z,367376,44150784,5152768,4311984,1745114,0.03
2024-09-10T00:28:51.942Z,367376,44150784,5152768,4314880,1745114,0.03
2024-09-10T00:28:52.944Z,367376,44150784,5152768,4317920,1745114,0.03
2024-09-10T00:28:53.945Z,367376,44150784,5152768,4320816,1745114,0.03
2024-09-10T00:28:54.947Z,367376,44150784,5152768,4323856,1745114,0.04
2024-09-10T00:28:55.948Z,367376,44150784,5152768,4326752,1745114,0.04
2024-09-10T00:28:56.950Z,367376,44150784,5152768,4329792,1745114,0.05
2024-09-10T00:28:57.951Z,367376,44150784,5152768,4332688,1745114,0.04
2024-09-10T00:28:58.953Z,367376,44150784,5152768,4335728,1745114,0.06
2024-09-10T00:28:59.954Z,367376,44150784,5152768,4338624,1745114,0.05
2024-09-10T00:29:00.956Z,367376,44150784,5152768,4341664,1745114,0.04
2024-09-10T00:29:01.957Z,367376,44150784,5152768,4344560,1745114,0.05
2024-09-10T00:29:02.959Z,367376,44150784,5152768,4347600,1745114,0.05
2024-09-10T00:29:03.960Z,367376,44150784,5152768,4350496,1745114,0.03
2024-09-10T00:29:04.961Z,367376,44150784,5152768,4353536,1745114,0.03
2024-09-10T00:29:05.963Z,367376,44150784,5152768,4356432,1745114,0.04
2024-09-10T00:29:06.964Z,367376,44150784,5152768,4359472,1745114,0.04
2024-09-10T00:29:07.965Z,367376,44150784,5152768,4362368,1745114,0.03
2024-09-10T00:29:08.967Z,367376,44150784,5152768,4365408,1745114,0.03
2024-09-10T00:29:09.968Z,367376,44150784,5152768,4368304,1745114,0.04
2024-09-10T00:29:10.970Z,367376,44150784,5152768,4371344,1745114,0.04
2024-09-10T00:29:11.971Z,367376,44150784,5152768,4374240,1745114,0.07
2024-09-10T00:29:12.973Z,367376,44150784,5152768,4377280,1745114,0.05
2024-09-10T00:29:13.975Z,367376,44150784,5152768,4380176,1745114,0.06
2024-09-10T00:29:14.976Z,367376,44150784,5152768,4383216,1745114,0.04
2024-09-10T00:29:15.977Z,367376,44150784,5152768,4386112,1745114,0.04
2024-09-10T00:29:16.979Z,367376,44150784,5152768,4389152,1745114,0.03
2024-09-10T00:29:17.980Z,367376,44150784,5152768,4392048,1745114,0.03
2024-09-10T00:29:18.981Z,367376,44150784,5152768,4395088,1745114,0.03
